p1	p2	turn	cost	sampled	components	large_size	small_size	core	pair	charge	separator
403812648800	1082393887680	0	113	false	2	20	1	[2, 4, 8, 12, 17, 20, 25, 256, 262, 264, 269, 277, 280, 285, 522, 524, 529, 532, 536, 542]	[2]	1	2
369451075392	1082392576960	0	10	true	2	16	1	[2, 4, 8, 13, 16, 257, 260, 265, 273, 517, 520, 525, 528, 533, 536, 542]	[2]	1	2
4234938417152	2130365645184	0	4	true	2	15	1	[2, 4, 8, 12, 17, 20, 26, 258, 260, 265, 269, 277, 281, 525, 529]	[2]	1	2
2327940956512	1632149439424	0	1	true	2	18	2	[1, 5, 261, 265, 513, 517, 520, 769, 777, 1024, 1029, 1032, 1280, 1284, 1290, 1536, 1542, 1794]	[2, 6]	1	2
944909582592	498241372672	0	1	true	2	9	1	[0, 6, 8, 13, 16, 22, 273, 276, 533]	[2]	1	4
2044421210368	2147542368768	1	1	true	2	11	1	[0, 4, 8, 14, 16, 21, 24, 258, 260, 266, 518]	[1]	-1	2
1718004744224	103080263680	0	1	true	2	4	3	[0, 5, 260, 518]	[2, 6, 258]	2	4
3968617939040	1219773857984	0	1	true	2	8	4	[0, 4, 8, 260, 265, 518, 520, 525]	[2, 4, 10, 258]	3/2	4
4191971967072	2130362499584	1	9	true	2	11	2	[0, 6, 8, 12, 16, 21, 266, 268, 274, 277, 526]	[1, 5]	-1	3
300664487936	841838755840	0	1	true	2	4	2	[0, 5, 257, 260]	[0, 6]	1/2	4
4123218936640	2095971303872	0	1	true	2	13	1	[0, 5, 8, 14, 257, 265, 268, 274, 517, 520, 524, 528, 534]	[1]	-1	4
1408750322016	824643158976	0	1	true	2	10	1	[1, 4, 9, 12, 18, 261, 272, 513, 516, 530]	[2]	1	1
3693740033120	2181880086592	0	17	true	2	14	1	[0, 4, 8, 13, 16, 21, 24, 30, 260, 265, 281, 286, 518, 520]	[2]	1	1
3418862125152	1219807412224	0	1	true	2	7	4	[0, 4, 8, 257, 260, 514, 518]	[0, 5, 258, 262]	1/2	4
3693740033376	2181888476096	1	219	false	2	18	1	[0, 4, 8, 14, 16, 22, 24, 29, 260, 266, 274, 282, 285, 517, 520, 526, 528, 534]	[1]	-1	2
3702330754400	2181888738240	0	221	false	2	21	1	[2, 4, 8, 12, 17, 20, 25, 28, 34, 256, 262, 264, 269, 277, 285, 290, 522, 524, 529, 532, 537]	[2]	1	2
841831416096	51565822720	0	1	true	2	6	4	[0, 5, 10, 257, 260, 266]	[0, 5, 260, 518]	1/4	4
4140433408288	2113183679232	1	20	true	2	11	4	[1, 4, 8, 12, 18, 257, 262, 264, 270, 522, 524]	[0, 6, 260, 517]	-1/4	3
4123253539072	1649329308544	1	6	true	2	11	2	[1, 4, 8, 13, 257, 262, 264, 270, 522, 524, 530]	[0, 6]	1/2	4
4123219985184	2095970255104	0	1	true	2	10	3	[1, 4, 8, 12, 18, 261, 264, 270, 516, 522]	[1, 4, 10]	0	4
25788153952	51559530688	1	1	true	2	9	1	[1, 4, 10, 261, 264, 270, 521, 524, 530]	[0]	*	4
120275861856	17205035968	0	1	true	2	7	3	[0, 5, 257, 260, 265, 268, 274]	[0, 6, 10]	1+*	4
2267860174688	206183596992	0	2	true	2	11	2	[2, 4, 9, 12, 16, 22, 269, 272, 278, 282, 538]	[0, 5]	-1/2	2
51382048	42992384	0	1	true	2	6	2	[0, 4, 10, 257, 262, 264]	[0, 6]	1/2	4
1219787489632	1666506032064	1	1	true	2	10	3	[0, 6, 258, 260, 266, 518, 520, 526, 528, 533]	[0, 5, 9]	-1+*	4
927714509680	2130332090400	0	2	true	2	14	2	[1, 4, 8, 13, 16, 22, 261, 265, 273, 276, 282, 530, 532, 538]	[2, 6]	1	1
274894684736	824650498144	0	1	true	2	4	2	[0, 5, 260, 518]	[0, 5]	-1/2	4
